CAMEL_ID_NUMBER,ISOLATE_ID,Community,Boma,LPS,AGE,Gender,Sample_Type,Transport_media,mo,Colony_Morphology,Gram_staining,IMVIC_Test,AMC,AMP,CAZ,CTX,CRO,CXM,FEP,CEC,TCY,GEN,STR1,CHL,CIP,SXT,NOR,MDR,TEM,SHV,CTX_M,OXA
139,139-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
140,140-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
141,141-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
142,142-1a,Ext.A,Sammy Meshami,Extensive,Adult,Male,Fecal swab,Cary blair,Escherichia coli ,"Big, Elevated, Moist, Lactose Fermenter",Gram -ve rods,POSITIVE,S,S,S,R,S,I,S,R,S,S,S,S,I,S,S,3,TEM-116,NEG,NEG,NEG
143,143-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
144,144-1a,Ext.A, Sammy Meshami,Extensive,Adult,Female,Fecal swab,Cary blair,Escherichia coli ,"Big, Elevated, Moist, Lactose Fermenter",Gram -ve rods,POSITIVE,S,I,S,S,S,S,S,I,S,S,S,S,S,S,S,0,NEG,NEG,NEG,NEG
145,145-1a,Ext.A,,Extensive,Adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
146,146-1a,Ext.A,,Extensive,Sub-adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
147,147-1a,Ext.A,,Extensive,Sub-adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
148,148-1a,Ext.A,,Extensive,Sub-adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
149,149-1a,Ext.A,,Extensive,Sub-adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
150,150-1a,Ext.A,,Extensive,Sub-adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
151,151-1a,Ext.A,,Extensive,Sub-adult,Female,Fecal swab,Cary blair,Others,,,POSITIVE,,,,,,,,,,,,,,,,,,,,
